7rk1_A	7rk1_A
6j5f_A	6j5f_A
6j5f_A	6j5d_A
6j5f_A	7kyl_E
6oy4_A	6oy4_A
6g8r_B	6g8r_B
3hmx_A	3hmx_A
4cni_C	4cni_C
4cni_C	4o9h_A
4cni_C	4zs7_A
3ld8_A	3ld8_A
4oii_A	4oii_A
6j71_A	6j71_A
6m3b_A	6m3b_A
3lev_A	3lev_A
2xtj_C	2xtj_C
1yjd_C	1yjd_C
3gi9_C	3gi9_C
4rgo_S	4rgo_S
4cad_I	4cad_I
5ldn_A	5ldn_A
5h35_C	5h35_C
6al5_A	6al5_A
2adf_A	2adf_A
1nsn_S	1nsn_S
4leo_C	4leo_C
6lz9_B	6lz9_B
4plj_A	4plj_A
4plj_A	3rkd_A
7rah_E	7rah_E
3gbm_B	3gbm_B
3gbm_B	3gbn_B
3gbm_B	4hlz_F
3gbm_B	5gjs_B
4lsv_G	4lsv_G
4lsv_G	6xcj_G
3s35_X	3s35_X
1nca_N	1nca_N
1nca_N	6lxj_A
4zff_D	4zff_D
6i8s_A	6i8s_A
6pcu_A	6pcu_A
7dha_A	7dha_A
7cj2_A	7cj2_A
4j4p_B	4j4p_B
5lcv_A	5lcv_A
5lcv_A	5gzn_A
5lcv_A	5gzn_B
5lcv_A	5gzn_E
6crk_A	6crk_A
6vep_Q	6vep_Q
6vep_Q	6vep_W
6vep_Q	7kd6_W
4dw2_U	4dw2_U
4qhu_C	4qhu_C
4qhu_C	5hi3_A
4qhu_C	2vxs_D
4qhu_C	2vxs_B
4qhu_C	6wio_C
4qhu_C	5n7w_X
5xez_A	5xez_A
5xez_A	5xez_B
4f3f_C	4f3f_C
3o0r_B	3o0r_B
6hx4_A	6hx4_A
6hx4_A	6hx4_B
5o1r_A	5o1r_A
1fns_A	1fns_A
6hxw_A	6hxw_A
2h32_B	2h32_B
3ru8_X	3ru8_X
5tzu_C	5tzu_C
5e8e_H	5e8e_H
4f2m_E	4f2m_E
2aep_A	2aep_A
2aep_A	6q20_A
2aep_A	6n6b_A
6cvk_D	6cvk_D
6nyq_C	6nyq_C
6rps_A	6rps_A
3hi6_A	3hi6_A
4edw_V	4edw_V
6s5a_A	6s5a_A
4nzr_M	4nzr_M
4fqj_A	4fqj_A
1bgx_T	1bgx_T
7ahu_C	7ahu_C
1mhp_B	1mhp_B
1mhp_B	2b2x_B
4r8w_B	4r8w_B
5e94_G	5e94_G
6iap_A	6iap_A
5veb_Y	5veb_Y
3grw_A	3grw_A
3grw_A	6j6y_A
3grw_A	4wv1_F
5bo1_A	5bo1_A
3nh7_A	3nh7_A
6elu_A	6elu_A
6elu_A	6elu_J
6elu_A	6elu_G
1w72_B	1w72_B
6vgr_A	6vgr_A
6umg_R	6umg_R
4dkf_A	4dkf_A
4dkf_A	4dke_B
4dkf_A	4dkf_B
5if0_G	5if0_G
5if0_G	4jpk_A
3lhp_S	3lhp_S
4r8w_A	4r8w_A
6o9i_C	6o9i_C
7m3i_C	7m3i_C
7m3i_C	7chp_E
7m3i_C	6yla_A
7m3i_C	7mmo_F
7m3i_C	6xkq_A
7m3i_C	2dd8_S
7m3i_C	7jn5_F
5nmv_K	5nmv_K
7jtr_A	7jtr_A
6rlo_J	6rlo_J
4qti_U	4qti_U
6wgl_C	6wgl_C
